host_since,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,has_availability,availability_30,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
2020-01-26,,,f,,1,4,t,t,Fort Lauderdale,26.11008,-80.15084,Entire home,Entire home/apt,4,2.0,2 baths,2.0,3.0,$115.00,t,5,122,33,0,2021-03-09,2024-05-13,4.84,4.9,4.7,4.95,4.98,4.93,4.81,f,1,1,0,0,3.03
2018-06-01,90%,97%,t,Roxbury,3,3,t,t,Pembroke Pines,26.02219,-80.26601,Private room in townhouse,Private room,1,2.0,2 shared baths,1.0,1.0,$50.00,t,9,16,10,0,2022-09-25,2024-05-05,4.94,5.0,4.94,5.0,4.88,4.88,4.75,f,3,0,3,0,0.75
2020-08-21,100%,56%,t,North Central,5,6,t,f,Hollywood,26.02105,-80.16279,Private room in home,Private room,2,1.0,1 private bath,1.0,1.0,$37.00,t,26,1,0,0,2022-07-13,2022-07-13,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,4,1,3,0,0.04
2020-08-09,91%,99%,f,Hollywood Beach,48,111,t,t,Hollywood,26.016490936279297,-80.11727905273438,Entire condo,Entire home/apt,4,1.0,1 bath,1.0,2.0,$127.00,t,10,19,5,1,2021-03-19,2024-06-11,4.68,4.84,4.68,4.89,4.84,5.0,4.32,t,47,47,0,0,0.48
2012-02-18,100%,97%,t,Baristo,479,531,t,t,Fort Lauderdale,26.1222763,-80.1051973,Entire condo,Entire home/apt,8,2.0,2 baths,2.0,4.0,$399.00,t,0,0,0,0,,,,,,,,,,f,22,22,0,0,
2016-10-26,100%,86%,t,Hollywood Beach,11,13,t,t,Hollywood,26.02514,-80.11645,Room in aparthotel,Private room,2,1.0,1 private bath,0.0,1.0,$141.00,t,16,1,0,0,2022-01-04,2022-01-04,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,9,0,9,0,0.03
2017-04-20,100%,100%,f,Country Club,2,2,t,t,Coral Springs,26.26082,-80.27811,Entire home,Entire home/apt,12,2.0,2 baths,4.0,5.0,$413.00,t,25,53,8,0,2021-03-22,2024-04-03,4.7,4.79,4.85,4.85,4.81,4.81,4.72,f,2,2,0,0,1.33
2017-04-02,99%,99%,t,Hollywood South Central Beach,81,95,t,t,Pompano Beach,26.23891,-80.09092,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,1.0,$83.00,t,30,49,24,0,2021-02-17,2024-03-17,4.65,4.8,4.8,4.76,4.9,4.92,4.51,t,28,28,0,0,1.2
2019-02-11,100%,90%,t,North Fort Lauderdale,5,5,t,t,Lauderdale By The Sea,26.1953,-80.09575,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,1.0,$76.00,t,23,26,10,1,2021-06-26,2024-06-21,4.92,4.92,4.85,4.96,4.88,5.0,4.96,f,5,5,0,0,0.71
2018-08-12,,100%,f,,1,1,t,f,Pompano Beach,26.22475,-80.10972,Entire home,Entire home/apt,6,2.5,2.5 baths,3.0,4.0,$500.00,t,29,23,0,0,2021-02-19,2023-04-15,4.96,4.96,5.0,4.96,4.87,4.91,4.87,f,1,1,0,0,0.56
2021-01-24,100%,97%,f,,1,1,t,t,Hallandale Beach,25.97611,-80.15698,Entire guest suite,Entire home/apt,2,1.0,1 bath,1.0,1.0,$55.00,t,8,241,76,7,2021-02-08,2024-06-18,4.72,4.82,4.84,4.9,4.82,4.73,4.67,f,1,1,0,0,5.85
2019-06-24,100%,100%,t,Harbour Inlet,57,69,t,t,Fort Lauderdale,26.14628219604492,-80.10980987548828,Entire condo,Entire home/apt,2,1.0,1 bath,1.0,1.0,$170.00,t,24,20,6,1,2021-02-14,2024-06-02,4.95,5.0,4.8,5.0,4.9,5.0,4.9,t,54,54,0,0,0.49
2014-08-18,100%,100%,f,Hollywood Beach,378,463,t,t,Hallandale Beach,25.98608,-80.13763,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,2.0,$96.00,t,21,28,10,0,2021-02-23,2024-04-29,4.39,4.5,4.36,4.68,4.79,4.68,4.43,t,342,341,1,0,0.69
2014-08-18,100%,100%,f,Hollywood Beach,378,463,t,t,Hallandale Beach,25.98528,-80.13741,Entire rental unit,Entire home/apt,6,2.0,2 baths,2.0,4.0,$164.00,t,21,8,1,0,2021-02-20,2024-01-07,4.0,3.88,4.0,4.5,4.13,4.63,3.88,t,342,341,1,0,0.2
2017-10-30,100%,99%,t,Key Biscayne,20,62,t,t,Wilton Manors,26.15697,-80.12615,Entire home,Entire home/apt,8,3.5,3.5 baths,4.0,4.0,$266.00,t,4,79,19,1,2021-02-03,2024-06-05,4.86,4.87,4.82,4.82,4.85,4.87,4.81,t,8,8,0,0,1.91
2019-10-10,100%,98%,t,Victoria Park,14,14,t,t,Fort Lauderdale,26.1273,-80.12446,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,2.0,$95.00,t,19,73,19,2,2021-03-01,2024-06-12,4.86,4.88,4.9,4.99,4.97,4.95,4.84,f,14,14,0,0,1.8
2017-01-15,99%,65%,t,Hutchinson Island,296,387,t,t,Pompano Beach,26.25196,-80.08585,Entire condo,Entire home/apt,4,1.0,1 bath,1.0,1.0,$216.00,t,30,31,1,0,2021-03-09,2023-07-02,4.84,4.77,4.9,4.9,4.9,5.0,4.84,t,10,9,1,0,0.77
2019-10-10,100%,98%,t,Victoria Park,14,14,t,t,Fort Lauderdale,26.12815,-80.12553,Entire rental unit,Entire home/apt,6,1.0,1 bath,2.0,3.0,$125.00,t,4,183,54,1,2021-03-06,2024-05-28,4.91,4.93,4.88,4.98,4.99,4.96,4.85,f,14,14,0,0,4.54
2014-01-21,100%,100%,f,Hollywood Beach,9,10,t,t,Hollywood,26.01635,-80.11755,Entire condo,Entire home/apt,5,2.0,2 baths,2.0,3.0,$255.00,t,18,34,7,0,2021-03-01,2024-05-27,4.85,4.85,4.74,4.74,4.97,4.97,4.68,t,9,9,0,0,0.84
2017-12-19,100%,100%,f,Puerto Madero,3,4,t,t,Hallandale Beach,25.98705,-80.12319,Entire condo,Entire home/apt,7,3.5,3.5 baths,3.0,4.0,$556.00,t,0,78,21,0,2021-03-14,2024-04-10,4.78,4.9,4.76,4.81,4.83,4.83,4.73,t,2,2,0,0,1.95
2015-06-15,,,f,,1,4,t,t,Deerfield Beach,26.30714,-80.11011,Private room in condo,Private room,2,1.0,1 private bath,1.0,1.0,$80.00,t,29,17,0,0,2021-03-22,2023-03-13,4.76,4.76,4.47,5.0,5.0,4.82,4.71,f,1,0,1,0,0.43
2017-04-02,99%,99%,t,Hollywood South Central Beach,81,95,t,t,Pompano Beach,26.2383,-80.09046,Entire rental unit,Entire home/apt,6,2.0,2 baths,2.0,3.0,$109.00,t,24,89,25,3,2021-02-07,2024-06-23,4.53,4.63,4.4,4.92,4.81,4.89,4.44,t,28,28,0,0,2.16
2016-05-03,100%,83%,t,,1,1,t,f,Dania Beach,26.04174,-80.15025,Private room in home,Private room,2,1.0,1 private bath,1.0,1.0,$66.00,t,22,88,10,0,2021-03-03,2024-04-14,4.77,4.86,4.68,4.92,4.85,4.68,4.66,f,1,0,1,0,2.18
2018-09-23,100%,99%,t,,1,1,t,t,Wilton Manors,26.16207,-80.15127,Private room in home,Private room,2,1.0,1 private bath,1.0,1.0,$77.00,t,19,215,59,5,2021-02-09,2024-06-25,4.95,4.96,4.92,4.95,4.97,4.9,4.94,t,1,0,1,0,5.23
2021-01-11,100%,100%,t,,2,2,t,t,Hallandale Beach,25.98372,-80.15656,Entire home,Entire home/apt,13,2.0,2 baths,3.0,6.0,$314.00,t,30,28,7,0,2021-03-09,2024-04-04,4.93,4.82,4.96,4.93,4.82,4.89,4.89,f,2,2,0,0,0.7
2017-05-25,99%,88%,f,,17,20,t,t,Pompano Beach,26.22672,-80.09287,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,$72.00,t,0,61,9,0,2021-02-02,2024-04-07,4.69,4.74,4.75,4.84,4.82,4.87,4.64,f,17,15,2,0,1.47
2016-04-06,100%,100%,t,Central Fort Lauderdale,3,5,t,t,Fort Lauderdale,26.11001,-80.15574,Entire home,Entire home/apt,4,1.0,1 bath,2.0,2.0,$99.00,t,3,24,4,0,2021-02-23,2024-05-27,4.79,4.71,4.71,4.75,4.88,4.75,4.63,f,3,3,0,0,0.59
2020-10-21,100%,49%,f,French Quarter,432,568,t,t,Pompano Beach,26.2266717900198,-80.15801229906519,Entire condo,Entire home/apt,2,1.0,1 bath,0.0,1.0,$230.00,t,30,2,0,0,2021-02-24,2022-05-29,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,26,26,0,0,0.05
2021-01-11,100%,100%,t,Galt Mile,3,4,t,t,Fort Lauderdale,26.17873,-80.09806,Entire condo,Entire home/apt,2,1.0,1 bath,1.0,1.0,$120.00,t,18,59,20,0,2021-02-11,2024-05-14,4.75,4.66,4.78,5.0,5.0,4.93,4.63,f,2,2,0,0,1.44
2018-04-08,96%,99%,f,East Fort Lauderdale,28,41,t,t,Fort Lauderdale,26.11696,-80.11421,Entire home,Entire home/apt,8,4.5,4.5 baths,4.0,5.0,$850.00,t,30,3,1,0,2022-03-18,2023-10-30,4.67,4.67,5.0,4.67,4.33,5.0,4.67,f,22,21,1,0,0.11
2015-04-20,100%,100%,f,Hollywood South Central Beach,17,19,t,t,Hallandale Beach,25.98514,-80.13681,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,1.0,$179.00,t,10,93,11,2,2021-04-11,2024-06-05,4.77,4.83,4.62,4.7,4.84,4.87,4.72,t,16,16,0,0,2.38
2012-11-26,100%,97%,t,Coral Ridge,82,95,t,t,Fort Lauderdale,26.151346,-80.120415,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,$83.00,t,14,130,32,0,2021-02-10,2024-05-25,4.96,4.96,4.93,5.0,4.94,4.87,4.95,f,81,81,0,0,3.16
2020-09-08,100%,0%,f,Central Fort Lauderdale,1,1,t,t,Fort Lauderdale,26.14388,-80.13504,Private room in condo,Private room,1,1.0,1 private bath,1.0,1.0,$60.00,t,0,7,0,0,2021-04-08,2021-08-24,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,0,1,0,0.18
2014-12-08,100%,100%,f,Hollywood South Central Beach,1,1,t,t,Hollywood,25.98916,-80.11815,Entire rental unit,Entire home/apt,6,1.5,1.5 baths,2.0,3.0,$251.00,t,7,65,5,0,2021-03-21,2024-05-28,4.63,4.78,4.6,4.17,4.88,4.83,4.72,f,1,1,0,0,1.63
2016-10-07,100%,100%,t,Harbordale,14,15,t,t,Fort Lauderdale,26.1024,-80.13544,Room in aparthotel,Entire home/apt,4,1.0,1 bath,1.0,4.0,$81.00,t,3,167,46,2,2021-06-14,2024-06-23,4.84,4.82,4.83,4.92,4.89,4.83,4.8,t,13,13,0,0,4.51
2016-01-31,100%,97%,t,Hollywood South Central Beach,1,1,t,f,Hollywood,25.988115310668945,-80.11792755126953,Entire rental unit,Entire home/apt,6,1.0,1 bath,1.0,4.0,$159.00,t,0,91,30,3,2021-03-03,2024-06-24,4.91,4.97,4.97,4.87,4.92,4.96,4.89,f,1,1,0,0,2.25
2021-01-31,100%,100%,t,Hollywood Hills,2,3,t,t,Dania Beach,26.0645,-80.20267,Entire home,Entire home/apt,6,2.0,2 baths,3.0,3.0,$193.00,t,7,49,24,1,2021-02-24,2024-06-11,4.94,4.96,4.94,4.96,4.96,4.86,4.86,f,2,2,0,0,1.21
2018-11-13,91%,54%,t,Pennington Bend,90,171,t,t,Pompano Beach,26.22676,-80.15946,Entire condo,Entire home/apt,6,2.0,2 baths,2.0,3.0,$165.00,t,29,25,0,0,2021-02-12,2022-01-30,4.68,4.76,4.68,4.56,4.68,4.6,4.72,f,15,15,0,0,0.61
2018-03-07,100%,98%,t,,10,10,t,t,Fort Lauderdale,26.15808516243884,-80.17948787374405,Entire guesthouse,Entire home/apt,2,1.0,1 bath,1.0,1.0,$75.00,t,10,286,55,4,2021-02-07,2024-06-11,4.85,4.87,4.91,4.92,4.93,4.66,4.76,t,7,7,0,0,6.94
2017-05-31,93%,70%,t,Palermo,176,210,t,t,Hollywood,25.98955,-80.11881,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,3.0,$270.00,t,28,1,0,0,2021-02-21,2021-02-21,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,5,5,0,0,0.02
2014-06-30,100%,99%,f,Hollywood Lakes,40,128,t,t,Hollywood,26.0217,-80.11566,Entire home,Entire home/apt,16,5.0,5 baths,7.0,14.0,$347.00,t,2,28,4,0,2021-03-30,2024-03-27,4.61,4.75,4.5,4.79,4.82,4.93,4.68,t,37,37,0,0,0.71
2011-07-28,100%,99%,t,East Fort Lauderdale,4,4,t,t,Fort Lauderdale,26.15444,-80.10129,Entire home,Entire home/apt,16,4.0,4 baths,6.0,9.0,$918.00,t,15,69,20,1,2021-03-02,2024-06-12,4.91,4.93,4.9,4.9,4.94,4.99,4.9,f,4,4,0,0,1.71
2020-09-22,100%,100%,f,Hollywood South Central Beach,3,3,t,f,Hollywood,25.99025,-80.11785,Entire condo,Entire home/apt,4,2.0,2 baths,2.0,3.0,$282.00,t,8,9,3,0,2021-02-07,2024-03-15,4.33,4.56,4.33,4.11,4.56,4.78,4.33,t,2,2,0,0,0.22
2012-02-29,100%,93%,f,Hollywood South Central Beach,174,258,t,t,Hallandale Beach,25.98673,-80.118,Entire rental unit,Entire home/apt,6,2.0,2 baths,2.0,4.0,$279.00,t,13,18,12,3,2021-02-21,2024-06-20,4.83,4.78,4.78,4.78,4.89,4.89,4.83,t,172,172,0,0,0.44
2019-04-16,98%,99%,t,Coral Ridge Country Club,53,54,t,t,Fort Lauderdale,26.16777,-80.10671,Entire rental unit,Entire home/apt,3,1.0,1 bath,,1.0,$88.00,t,30,63,33,0,2021-02-12,2024-05-19,4.87,4.87,4.83,4.97,4.81,4.86,4.81,f,42,42,0,0,1.53
2021-02-03,100%,96%,f,Melrose Park,1,2,t,t,Fort Lauderdale,26.10811,-80.19345,Entire home,Entire home/apt,6,2.0,2 baths,3.0,4.0,$147.00,t,13,71,21,0,2021-05-31,2024-05-26,4.45,4.59,4.46,4.9,4.8,4.61,4.51,f,1,1,0,0,1.9
2019-04-16,98%,99%,t,Coral Ridge Country Club,53,54,t,t,Fort Lauderdale,26.16971,-80.10877,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,$89.00,t,18,53,11,0,2021-02-18,2024-05-27,4.81,4.89,4.72,4.87,4.72,4.83,4.77,f,42,42,0,0,1.3
2016-08-24,100%,99%,,,19,22,t,t,Pompano Beach,26.24063,-80.09204,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,$147.00,t,8,57,8,0,2021-03-08,2024-05-20,4.84,4.89,4.77,4.95,4.74,4.93,4.84,f,17,17,0,0,1.42
2014-01-21,100%,100%,f,Hollywood Beach,9,10,t,t,Hollywood,26.0163,-80.11711,Entire condo,Entire home/apt,4,1.0,1 bath,1.0,2.0,$162.00,t,21,9,2,0,2021-02-26,2024-04-06,4.44,4.11,4.0,4.56,4.44,4.89,4.67,t,9,9,0,0,0.22
2017-05-13,,,f,Caloosahatchee,1,1,t,t,Pompano Beach,26.24321186385183,-80.08755450555725,Entire condo,Entire home/apt,2,1.0,1 bath,1.0,0.0,$110.00,t,0,0,0,0,,,,,,,,,,f,1,1,0,0,
2018-11-13,91%,54%,t,Pennington Bend,90,171,t,t,Pompano Beach,26.22548,-80.15933,Entire condo,Entire home/apt,6,2.0,2 baths,2.0,3.0,$165.00,t,29,17,0,0,2021-03-11,2022-01-05,4.59,4.71,4.71,4.41,4.53,4.82,4.82,f,15,15,0,0,0.42
2021-02-03,100%,100%,f,,1,2,t,t,Dania Beach,26.04306,-80.13943,Entire home,Entire home/apt,12,3.0,3 baths,5.0,8.0,$450.00,t,16,25,1,0,2021-02-18,2024-03-28,4.6,4.76,4.6,4.88,4.76,4.64,4.52,f,1,1,0,0,0.61
2017-05-25,99%,88%,f,,17,20,t,t,Pompano Beach,26.22761,-80.0932,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,1.0,$66.00,t,0,50,9,0,2021-02-14,2024-04-09,4.64,4.78,4.82,4.88,4.86,4.92,4.74,f,17,15,2,0,1.22
2017-04-18,100%,98%,f,,19,23,t,t,Pompano Beach,26.22126,-80.09118,Entire serviced apartment,Entire home/apt,4,1.0,1 bath,1.0,3.0,$175.00,t,25,28,2,0,2021-02-19,2024-02-29,4.71,4.93,4.64,4.96,4.89,4.79,4.82,f,13,6,7,0,0.69
2020-02-18,,,f,,1,1,t,t,Pompano Beach,26.24134,-80.08815,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,$120.00,t,23,0,0,0,,,,,,,,,,f,1,1,0,0,
2016-03-10,,25%,f,,5,17,t,t,Weston,26.09861,-80.37955,Entire condo,Entire home/apt,4,1.0,1 bath,1.0,2.0,$170.00,t,27,2,1,0,2021-04-30,2024-05-19,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,5,5,0,0,0.05
2018-07-13,100%,98%,f,Hollywood South Central Beach,22,25,t,t,Hollywood,25.9894,-80.11794,Entire condo,Entire home/apt,4,1.0,1 bath,1.0,3.0,$254.00,t,16,9,1,0,2021-03-23,2024-03-05,4.78,4.89,4.78,4.78,5.0,4.67,4.78,f,10,9,1,0,0.23
2021-02-06,80%,100%,f,Tarpon River,1,1,t,t,Fort Lauderdale,26.11845,-80.14305,Entire condo,Entire home/apt,5,2.0,2 baths,2.0,4.0,$230.00,t,0,12,0,0,2021-03-22,2021-05-31,4.92,4.92,4.92,4.92,5.0,4.92,5.0,f,1,1,0,0,0.3
2016-03-10,,25%,f,,5,17,t,t,Weston,26.09852,-80.37803,Entire condo,Entire home/apt,4,1.0,1 bath,1.0,2.0,$150.00,t,0,4,0,0,2021-04-30,2022-11-25,5.0,4.75,4.75,5.0,5.0,5.0,4.75,f,5,5,0,0,0.1
2014-08-18,100%,100%,f,Hollywood Beach,378,463,t,t,Hollywood,25.98667,-80.12129,Entire rental unit,Entire home/apt,4,1.5,1.5 baths,1.0,2.0,$155.00,t,8,16,3,1,2021-03-08,2024-06-14,4.56,4.69,4.69,4.69,4.75,4.5,4.5,t,342,341,1,0,0.4
2016-06-08,100%,100%,t,Hollywood Lakes,8,11,t,t,Hollywood,26.00355,-80.15641,Entire home,Entire home/apt,10,3.0,3 baths,5.0,5.0,$379.00,t,2,65,24,3,2021-05-10,2024-06-16,4.98,4.94,4.92,4.98,5.0,4.77,4.89,f,8,8,0,0,1.7
2018-12-12,100%,100%,f,Dorsey Riverbend,2,4,t,f,Fort Lauderdale,26.12590217590332,-80.15430450439453,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,3.0,$115.00,t,26,61,23,3,2021-03-19,2024-06-18,4.87,4.85,4.9,4.97,4.93,4.66,4.84,f,2,2,0,0,1.53
2016-03-10,,25%,f,,5,17,t,t,Weston,26.12592,-80.37454,Entire condo,Entire home/apt,4,1.0,1 bath,1.0,2.0,$150.00,t,0,3,0,0,2021-05-14,2022-03-13,5.0,5.0,5.0,4.33,5.0,5.0,4.67,f,5,5,0,0,0.08
2017-07-03,100%,100%,t,Sunrise Intracoastal,2,2,t,t,Fort Lauderdale,26.12964,-80.11223,Entire home,Entire home/apt,6,2.5,2.5 baths,3.0,4.0,$595.00,t,30,28,1,0,2021-03-20,2023-12-29,4.79,4.93,4.86,5.0,5.0,4.96,4.79,f,2,2,0,0,0.7
2014-08-18,100%,100%,f,Hollywood Beach,378,463,t,t,Hollywood,26.0177,-80.11626,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,1.0,$86.00,t,22,38,5,0,2021-03-29,2023-11-19,4.66,4.61,4.61,4.58,4.71,4.92,4.61,t,342,341,1,0,0.96
2017-05-29,100%,83%,t,,5,5,t,t,Pompano Beach,26.25641,-80.09605,Entire home,Entire home/apt,10,2.0,2 baths,4.0,5.0,$237.00,t,19,51,5,1,2021-02-20,2024-06-10,4.88,4.9,4.92,4.96,4.94,4.94,4.78,f,4,4,0,0,1.25
2014-06-30,100%,99%,f,Hollywood Lakes,40,128,t,t,Hollywood,26.02164,-80.11502,Entire home,Entire home/apt,10,2.0,2 baths,3.0,7.0,$135.00,t,4,20,12,1,2021-03-10,2024-05-28,4.5,4.5,4.6,4.55,4.7,4.9,4.5,t,37,37,0,0,0.5
2014-06-30,100%,99%,f,Hollywood Lakes,40,128,t,t,Hollywood,26.02141,-80.11578,Entire home,Entire home/apt,11,3.0,3 baths,4.0,7.0,$155.00,t,2,23,11,1,2021-02-16,2024-06-22,4.65,4.65,4.52,4.74,4.61,4.91,4.65,t,37,37,0,0,0.56
2015-12-31,100%,97%,f,Poinsettia Heights,1,2,t,f,Fort Lauderdale,26.14336,-80.13004,Entire home,Entire home/apt,8,1.0,1 bath,3.0,4.0,$175.00,t,12,81,17,2,2021-03-07,2024-06-05,4.27,4.33,4.19,4.84,4.6,4.58,4.23,t,1,1,0,0,2.01
2015-07-17,100%,97%,f,East Fort Lauderdale,28,127,t,t,Pompano Beach,26.23766,-80.10144,Entire villa,Entire home/apt,10,3.0,3 baths,4.0,5.0,$283.00,t,18,73,11,1,2021-03-14,2024-06-08,4.75,4.84,4.79,4.81,4.85,4.81,4.73,f,26,26,0,0,1.82
2017-01-02,100%,96%,f,Royal Poinciana,11,12,t,t,Hollywood,26.0265,-80.14568,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,$89.00,t,25,12,1,0,2021-07-02,2023-09-02,4.67,4.92,5.0,5.0,5.0,4.42,4.58,f,10,10,0,0,0.33
2016-09-22,100%,100%,f,,3,9,t,t,Unincorporated,26.14258,-80.1768,Private room in home,Private room,2,1.0,1 shared bath,1.0,1.0,$40.00,t,24,21,0,0,2021-09-06,2023-04-30,4.71,4.95,4.81,4.95,4.86,4.38,4.71,f,3,0,3,0,0.61
2017-05-25,99%,88%,f,,17,20,t,t,Pompano Beach,26.22614,-80.09313,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,$68.00,t,0,44,11,1,2021-08-30,2024-06-02,4.64,4.82,4.73,4.93,4.93,4.91,4.82,f,17,15,2,0,1.28
2017-05-31,93%,70%,t,Palermo,176,210,t,t,Hollywood,25.98838,-80.11844,Entire rental unit,Entire home/apt,6,1.0,1 bath,1.0,1.0,$260.00,t,7,0,0,0,,,,,,,,,,f,5,5,0,0,
2018-10-15,100%,100%,t,Hollywood Lakes,17,20,t,t,Hollywood,26.02355,-80.14297,Room in hotel,Private room,2,1.0,1 private bath,0.0,1.0,$60.00,t,0,28,8,3,2021-02-15,2024-06-24,4.86,4.81,4.74,5.0,4.93,4.67,4.67,f,17,7,10,0,0.68
2021-02-10,98%,99%,t,Hollywood Lakes,24,49,t,t,Hollywood,26.00376,-80.13186,Entire home,Entire home/apt,8,3.0,3 baths,4.0,4.0,$327.00,t,1,83,21,0,2021-02-25,2024-05-19,4.93,4.89,4.88,4.96,4.93,4.94,4.77,t,22,22,0,0,2.04
2015-05-05,100%,99%,t,,3,3,t,t,Oakland Park,26.19307,-80.14965,Entire home,Entire home/apt,6,2.0,2 baths,3.0,4.0,"$2,341.00",t,9,121,31,1,2021-02-21,2024-05-31,4.84,4.92,4.87,4.96,4.93,4.76,4.82,f,3,3,0,0,2.97
2020-08-09,91%,99%,f,Hollywood Beach,48,111,t,t,Hollywood,26.01714324951172,-80.11708068847656,Entire condo,Entire home/apt,2,1.0,1 bath,1.0,2.0,$82.00,t,18,30,5,0,2021-03-01,2024-05-18,4.63,4.67,4.43,4.5,4.73,4.87,4.6,t,47,47,0,0,0.74
2015-06-20,100%,96%,t,South Corals,9,9,t,t,Wilton Manors,26.161283,-80.139343,Entire home,Entire home/apt,6,2.0,2 baths,3.0,3.0,$266.00,t,23,90,27,3,2021-02-16,2024-06-22,5.0,5.0,5.0,5.0,5.0,4.99,4.99,f,6,6,0,0,2.2
2020-03-15,100%,98%,t,Hollywood South Central Beach,79,87,t,t,Hollywood,25.99,-80.11847,Entire condo,Entire home/apt,4,1.0,1 bath,1.0,2.0,$170.00,t,15,29,20,1,2021-08-21,2024-06-16,4.76,4.79,4.9,4.76,4.83,4.86,4.76,f,56,56,0,0,0.83
2021-02-09,100%,99%,f,,5,6,t,t,Hollywood,26.03265,-80.14525,Shared room in hostel,Shared room,1,1.0,1 shared bath,1.0,1.0,$64.00,t,30,39,3,0,2021-03-17,2024-05-19,3.97,4.23,3.92,4.51,4.41,4.59,4.15,t,5,0,0,5,0.98
2016-05-01,100%,99%,t,Aventura,30,30,t,t,Hollywood,25.98765,-80.12143,Entire condo,Entire home/apt,5,2.0,2 baths,2.0,4.0,$271.00,t,6,47,3,0,2021-02-26,2024-05-19,4.79,4.78,4.57,4.63,4.89,4.91,4.76,t,10,10,0,0,1.16
2018-06-21,100%,100%,f,North Central,6,9,t,t,Hollywood,26.02596,-80.15052,Entire guest suite,Entire home/apt,4,1.0,1 bath,0.0,2.0,$89.00,t,0,69,1,0,2021-05-15,2023-07-03,4.77,4.87,4.84,4.91,4.93,4.61,4.83,t,3,3,0,0,1.82
2016-05-01,100%,99%,t,Aventura,30,30,t,t,Hollywood,25.98807,-80.12041,Entire condo,Entire home/apt,5,2.0,2 baths,2.0,3.0,$257.00,t,13,36,6,0,2021-03-11,2024-04-23,4.83,4.97,4.64,4.56,4.78,4.92,4.72,t,10,10,0,0,0.9
2021-02-15,100%,100%,t,,4,4,t,t,Pompano Beach,26.25042,-80.09418,Entire townhouse,Entire home/apt,9,2.5,2.5 baths,2.0,7.0,$264.00,t,28,39,3,0,2021-02-24,2024-03-23,4.92,4.85,4.95,4.97,4.92,4.87,4.9,f,4,4,0,0,0.96
2019-09-26,100%,100%,f,,12,12,t,t,Pompano Beach,26.247828,-80.087891,Room in aparthotel,Entire home/apt,8,2.0,2 baths,4.0,5.0,$493.00,t,30,20,2,0,2021-03-13,2024-03-28,4.7,4.7,4.75,4.75,4.75,4.75,4.55,f,12,12,0,0,0.5
2016-02-23,64%,23%,f,Kailua/Kona,9,16,t,t,Pompano Beach,26.22537,-80.15958,Private room,Private room,8,2.0,2 shared baths,2.0,3.0,$208.00,t,30,9,3,0,2021-02-21,2024-05-11,4.78,4.89,4.67,4.78,4.78,4.78,4.78,f,2,1,1,0,0.22
2015-05-23,100%,99%,t,Hollywood South Central Beach,2,2,t,t,Hollywood,25.98804,-80.11758,Entire condo,Entire home/apt,3,1.0,1 bath,1.0,2.0,$172.00,t,8,140,38,0,2021-03-05,2024-05-27,4.95,4.94,4.95,4.69,4.99,4.89,4.89,f,1,1,0,0,3.47
2019-04-15,100%,81%,f,,1,4,t,t,Pembroke Pines,26.00305,-80.229,Private room in home,Private room,2,1.0,1 private bath,1.0,1.0,$73.00,t,30,91,29,0,2021-02-26,2024-05-19,4.77,4.9,4.79,4.89,4.91,4.82,4.81,f,1,0,1,0,2.24
2017-04-18,100%,98%,f,,19,23,t,t,Pompano Beach,26.22269,-80.09264,Entire serviced apartment,Entire home/apt,4,1.0,1 bath,1.0,1.0,$175.00,t,25,23,0,0,2021-03-22,2022-12-12,5.0,5.0,4.87,4.87,4.96,5.0,4.96,f,13,6,7,0,0.58
